Date,Field_ID,Cap_Method,Location,Coast,Cap_Lat,Cap_Long,TOB,Release_Time,Tide,TotalDepth,Hab_Type,Sex,LifeStage,DW,SL,TL,Plate_Wear,Plate_Chipped,Mouth_Upper,Mouth_Bottom,Mouth_Gape,Weight_SER,Lavage,Time_Start,Time_Stop
20210318,20210318_01_01,Tangle Net,St. Lucie,Atlantic,27.16999,-80.17236,10:27,10:53,Incoming,0.8,NA,M,M,143.8,89.4,94.4,Rough,Y,6.24,4.79,8.94,43.65,Y,10:48,10:49
20210318,20210318_02_01,Tangle Net,St. Lucie,Atlantic,27.17446,-80.17309,11:22,11:48,Incoming,0.8,NA,F,UN,123,77.4,89.8,Rough,N,6.29,4.72,7.09,29.6,Y,11:44,11:45
20210318,20210318_03_01,Tangle Net,St. Lucie,Atlantic,27.19,-80.17773,13:12,13:37,High,1,SG/Mud,F,M,166,101.4,115.8,Rough,Y,8.39,5.94,11.24,68.9,Y,13:30,13:34
20210329,20210329_01_01,Tangle Net,Sebastian,Atlantic,27.86372,-80.46049,10:52,11:19,High,1.5,Sand,M,M,139,88.4,98.6,Rough,Y,7.39,5.08,8.57,39.35,Y,11:12,11:14
20210329,20210329_02_01,Tangle Net,Sebastian,Atlantic,27.87207,-80.47571,13:42,14:13,Outgoing,0.7,SG/Mud,M,IM,110.8,61.6,75.8,Smooth,Y,5.22,4.02,5.54,18.6,Y,14:07,14:08
20210407,20210407_01_01,Nylon Seine,Sarasota,Gulf,27.27316,-82.57047,10:59,11:55,Incoming,1.2192,Sand,F,M,153,90,101,Smooth,Y,7.36,5.52,8.68,47.7,Y,11:49,11:50
20210407,20210407_04_01,Nylon Seine,Sarasota,Gulf,27.33706,-82.57855,15:03,15:35,Outgoing,1.524,Sand,F,UN,122,72.4,84.2,Smooth,N,5.54,4.4,7.75,27.9,Y,15:22,15:24
20210407,20210407_04_02,Nylon Seine,Sarasota,Gulf,27.33706,-82.57855,15:38,,Outgoing,1.524,Sand,F,UN,121,72.4,80.8,Smooth,N,5.09,4.15,7.33,24.8,Y,16:00,16:01
20210408,20210408_01_01,Nylon Seine,Sarasota,Gulf,27.34416,-82.57828,,13:25,Incoming,1.8288,Patchy SG,F,UN,118,74.8,85.6,Rough,Y,5.31,4.29,6.72,26.5,Y,13:17,13:20
20210408,20210408_01_02,Nylon Seine,Sarasota,Gulf,27.34416,-82.57828,,13:48,Incoming,1.8288,Patchy SG,F,UN,137.2,80.8,96.8,Smooth,Y,6.07,4.75,8.01,38.9,Y,13:42,13:45
20210408,20210408_02_01,Nylon Seine,Sarasota,Gulf,27.39646,-82.61599,14:40,15:12,Outgoing,1.524,Patchy SG,M,IM,105.4,64.4,71.6,Smooth,Y,4.91,3.45,6.5,17.8,Y,,
20210422,20210422_01_01,Nylon Seine,Sarasota,Gulf,27.41106,-82.63582,10:01,10:32,High,0.9144,Patchy SG,F,IM,84.9,48,56.6,Smooth,Y,3.88,2.79,5.85,8.9,Y,10:21,10:23
20210422,20210422_02_01,Nylon Seine,Sarasota,Gulf,27.41132,-82.6349,11:08,11:41,High,0.9144,Patchy SG,M,IM,124.5,73,90,Rough,Y,5.6,4.07,7.72,31.7,Y,11:32,11:35
20210422,20210422_03_01,Nylon Seine,Sarasota,Gulf,27.39466,-82.62505,12:18,12:39,Outgoing,0.762,Patchy SG,F,J,54.9,36,41.4,Smooth,N,2.98,2.19,3.79,2.5,Y,12:34,12:35
20210423,20210423_01_01,Nylon Seine,Sarasota,Gulf,27.41116,-82.63439,10:54,11:20,Incoming,1.2192,Patchy SG,F,J,54,34.5,38.2,Smooth,N,2.76,2.02,3.64,2.5,Y,11:11,11:13
20210713,20210713_01_01,Tangle Net,Sebastian,Atlantic,27.84722,-80.44948,10:16,10:50,Incoming,0.4,Patchy SG,F,M,165.8,102.4,116.4,Smooth,Y,7.88,5.75,10.1,69.25,Y,10:42,10:44
20210715,20210715_01_01,Tangle Net,St. Lucie,Atlantic,27.16961,-80.16997,9:31,10:01,Incoming,1.3,Sand,M,M,128.8,80.4,90.6,Smooth,Y,6.58,4.46,7.59,41.2,Y,9:55,9:57
20210715,20210715_02_01,Tangle Net,St. Lucie,Atlantic,27.1893,-80.17546,11:07,11:37,Incoming,0.5,Sand,M,M,149.8,93.2,106.8,Rough,Y,6.68,5.14,7.99,50.3,Y,11:31,11:34
20210715,20210715_03_01,Tangle Net,St. Lucie,Atlantic,27.1762,-80.18012,13:38,14:09,High,1.9,Channel,F,UN,140,83.2,97.4,Smooth,Y,6.69,5.18,6.4,41.15,Y,14:03,14:04
20210715,20210715_04_01,Tangle Net,St. Lucie,Atlantic,27.16997,-80.1738,14:48,15:35,Outgoing,1.1,Sand,F,IM,112.2,69.8,80.2,Smooth,Y,5.67,4.02,4.45,22.8,Y,15:30,15:31
20210715,20210715_04_02,Tangle Net,St. Lucie,Atlantic,27.16997,-80.1738,14:59,15:43,Outgoing,1.1,Sand,M,IM,99.2,61.4,71.2,Rough,Y,4.31,3.41,5.29,13.45,Y,15:36,15:38
20210825,20210825_01_01,Tangle Net,Fort Pierce,Atlantic,27.46919,-80.31746,10:24,11:01,Incoming,0.5,Patchy SG,F,M,160.4,103.6,115.6,Rough,Y,7.58,5.99,10.26,59.45,Y,10:51,10:54
20210825,20210825_02_01,Tangle Net,Fort Pierce,Atlantic,27.46886,-80.31478,12:53,13:18,Outgoing,0.5,Patchy SG,F,UN,132.8,81,91.8,Rough,Y,6.91,4.97,6.01,35.6,Y,13:11,13:12
